variant_raw,customer,anomaly_type,consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,variant_log1p,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
raw,620000,contextual_point,1,531,2024-04-15,0.9973539272030651,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,5,531,0.94481561302682,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,13.0
raw,620000,contextual_point,3,580,2024-06-03,0.9939792008757524,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,3.0,log1p,2,580,0.9939792008757524,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
raw,620000,contextual_point,5,97,2023-02-06,0.9761562671045428,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,7.0,log1p,11,97,0.9062773672687464,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,8,391,2023-11-27,0.9553708264915162,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,12.0,log1p,13,391,0.8900656814449919,5,0,dp;zms;units;isolation_forest;calf,,1,units,19.0
raw,620000,contextual_point,9,581,2024-06-04,0.9507389162561576,3,2,dp;zms;isolation_forest,units;calf,2,dp;isolation_forest,5.0,log1p,10,581,0.909688013136289,3,2,dp;zms;isolation_forest,units;calf,2,zms;isolation_forest,4.0
raw,620000,contextual_point,11,489,2024-03-04,0.9486829501915708,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,10.0,log1p,14,489,0.8900485769020252,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,14,561,2024-05-15,0.9296917761357416,5,0,dp;zms;units;isolation_forest;calf,,0,,,log1p,20,561,0.8720785440613026,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,22.0
raw,620000,contextual_point,16,461,2024-02-05,0.9270354406130268,5,0,dp;zms;units;isolation_forest;calf,,1,units,9.0,log1p,21,461,0.8659191981390257,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,17,570,2024-05-24,0.9166529830322936,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,25.0,log1p,15,570,0.8866789819376025,5,0,dp;zms;units;isolation_forest;calf,,2,units;isolation_forest,8.0
raw,620000,contextual_point,18,111,2023-02-20,0.915382115489874,5,0,dp;zms;units;isolation_forest;calf,,0,,,log1p,23,111,0.8626949917898192,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,21,596,2024-06-19,0.8990147783251232,3,2,dp;zms;isolation_forest,units;calf,0,,,log1p,1,596,0.9967159277504104,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
raw,620000,global_point,1,584,2024-06-07,0.9994444444444444,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,1.0,log1p,16,584,0.8955555555555555,3,2,itrans;datamole;gpt4ts,calf;units,2,datamole;gpt4ts,3.0
raw,620000,global_point,2,531,2024-04-15,0.9969861111111112,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0,log1p,4,531,0.9559305555555556,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,13.0
raw,620000,global_point,3,580,2024-06-03,0.9916666666666668,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,2.0,log1p,12,580,0.9261111111111112,3,2,itrans;datamole;gpt4ts,calf;units,2,datamole;gpt4ts,5.0
raw,620000,global_point,5,582,2024-06-05,0.9705555555555556,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;datamole,1.0,log1p,21,582,0.8744444444444445,3,2,itrans;datamole;gpt4ts,calf;units,1,gpt4ts,21.0
raw,620000,global_point,9,521,2024-04-05,0.9327361111111112,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,3.0,log1p,18,521,0.8865555555555555,5,0,itrans;calf;units;datamole;gpt4ts,,0,,
raw,620000,global_point,13,563,2024-05-17,0.9116388888888888,5,0,itrans;calf;units;datamole;gpt4ts,,1,gpt4ts,25.0,log1p,6,563,0.9531805555555556,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;gpt4ts,19.0
raw,620000,global_point,16,402,2023-12-08,0.8994027777777778,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;units,6.0,log1p,10,402,0.9289166666666666,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,13.0
raw,620000,global_point,20,585,2024-06-08,0.8694444444444445,3,2,itrans;datamole;gpt4ts,calf;units,1,datamole,23.0,log1p,15,585,0.905,3,2,itrans;datamole;gpt4ts,calf;units,0,,
raw,620000,global_point,21,561,2024-05-15,0.868736111111111,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,14.0,log1p,25,561,0.8700555555555555,5,0,itrans;calf;units;datamole;gpt4ts,,3,calf;units;gpt4ts,15.0
raw,620000,global_point,22,595,2024-06-18,0.8594444444444443,3,2,itrans;datamole;gpt4ts,calf;units,1,datamole,16.0,log1p,3,595,0.9627777777777776,3,2,itrans;datamole;gpt4ts,calf;units,2,datamole;gpt4ts,12.0
raw,633000,contextual_point,1,531,2024-04-15,0.9983579638752051,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,3,531,0.9733579638752052,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,1.0
raw,633000,contextual_point,4,97,2023-02-06,0.982199302134647,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0,log1p,7,97,0.9271979337712096,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,2.0
raw,633000,contextual_point,5,580,2024-06-03,0.9813902572523264,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,4.0,log1p,2,580,0.973727422003284,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,3.0
raw,633000,contextual_point,6,265,2023-07-24,0.9794317870826492,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,6.0,log1p,5,265,0.9518421592775042,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,5.0
raw,633000,contextual_point,7,356,2023-10-23,0.9647081964969896,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,10.0,log1p,12,356,0.8945231253420909,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,6.0
raw,633000,contextual_point,9,596,2024-06-19,0.9455391351943075,3,2,dp;zms;isolation_forest,units;calf,1,isolation_forest,18.0,log1p,1,596,0.978927203065134,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,3.0
raw,633000,contextual_point,11,538,2024-04-22,0.9326970443349756,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,3.0,log1p,14,538,0.8845460454296662,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,4.0
raw,633000,contextual_point,12,311,2023-09-08,0.9294642857142856,5,0,dp;zms;units;isolation_forest;calf,,1,units,16.0,log1p,4,311,0.9671849343185548,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,8.0
raw,633000,contextual_point,13,55,2022-12-26,0.92702346743295,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,11.0,log1p,23,55,0.8347376163108923,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,9.0
raw,633000,contextual_point,14,153,2023-04-03,0.9251642036124796,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,5.0,log1p,16,153,0.8709701696770663,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,7.0
raw,633000,contextual_point,16,489,2024-03-04,0.9216663245758074,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,21.0,log1p,8,489,0.9188492063492064,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,10.0
raw,633000,contextual_point,17,570,2024-05-24,0.9204142720306512,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,20.0,log1p,21,570,0.8407481527093597,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,14.0
raw,633000,contextual_point,22,573,2024-05-27,0.8783798576902025,5,0,dp;zms;units;isolation_forest;calf,,0,,,log1p,11,573,0.8973334017515052,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,11.0
raw,633000,global_point,15,485,2024-02-29,0.8692777777777778,5,0,itrans;calf;units;datamole;gpt4ts,,2,calf;units,9.0,log1p,18,485,0.817,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;units,3.0
raw,633000,global_point,23,190,2023-05-10,0.8246249999999999,5,0,itrans;calf;units;datamole;gpt4ts,,1,datamole,16.0,log1p,2,190,0.9392083333333334,5,0,itrans;calf;units;datamole;gpt4ts,,1,calf,5.0
raw,633000,subsequence_pattern,6,521,2024-04-05,0.925028804050356,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,18.0,log1p,5,521,0.8571155582922824,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,633000,subsequence_pattern,13,392,2023-11-28,0.9032398056923918,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,1.0,log1p,15,392,0.8303936097427476,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,633000,subsequence_pattern,25,489,2024-03-04,0.8418623426382046,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,,log1p,9,489,0.8472510262725781,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,2968000,contextual_point,1,499,2024-03-14,0.9958384646962234,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0,log1p,4,499,0.967568076081007,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,3.0
raw,2968000,contextual_point,2,471,2024-02-15,0.995566502463054,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,18,471,0.8732416529830322,5,0,dp;zms;units;isolation_forest;calf,,2,zms;units,10.0
raw,2968000,contextual_point,3,527,2024-04-11,0.9944632594417078,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,14,527,0.9096777504105092,5,0,dp;zms;units;isolation_forest;calf,,2,zms;isolation_forest,7.0
raw,2968000,contextual_point,4,370,2023-11-06,0.993356595511768,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0,log1p,1,370,0.9969502599890532,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
raw,2968000,contextual_point,5,321,2023-09-18,0.983410303776683,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,5.0,log1p,9,321,0.94688526272578,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,2.0
raw,2968000,contextual_point,7,577,2024-05-31,0.9792008757525998,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,6.0,log1p,11,577,0.9282977558839628,3,2,dp;zms;isolation_forest,units;calf,1,zms,19.0
raw,2968000,contextual_point,8,367,2023-11-03,0.9740729337712098,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,10.0,log1p,8,367,0.9519482074438972,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,12.0
raw,2968000,contextual_point,9,337,2023-10-04,0.9718305281882867,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,5.0,log1p,22,337,0.8556735769020252,5,0,dp;zms;units;isolation_forest;calf,,1,zms,21.0
raw,2968000,contextual_point,10,596,2024-06-19,0.9663382594417076,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,14.0,log1p,2,596,0.9939792008757524,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,2.0
raw,2968000,contextual_point,11,398,2023-12-04,0.962156198686371,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,11.0,log1p,10,398,0.9318897099069512,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,4.0
raw,2968000,contextual_point,13,323,2023-09-20,0.9401785714285712,5,0,dp;zms;units;isolation_forest;calf,,2,units;isolation_forest,12.0,log1p,20,323,0.8579450602079912,5,0,dp;zms;units;isolation_forest;calf,,1,units,10.0
raw,2968000,contextual_point,14,479,2024-02-23,0.932915982484948,5,0,dp;zms;units;isolation_forest;calf,,0,,,log1p,21,479,0.8578783524904214,5,0,dp;zms;units;isolation_forest;calf,,1,calf,9.0
raw,2968000,contextual_point,16,580,2024-06-03,0.9326765188834152,3,2,dp;zms;isolation_forest,units;calf,0,,,log1p,3,580,0.986863711001642,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,6.0
raw,2968000,contextual_point,18,573,2024-05-27,0.9273860837438423,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,8.0,log1p,6,573,0.958184523809524,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,2.0
raw,2968000,contextual_point,21,477,2024-02-21,0.923853995621237,5,0,dp;zms;units;isolation_forest;calf,,1,units,16.0,log1p,19,477,0.8610905856595512,5,0,dp;zms;units;isolation_forest;calf,,1,units,3.0
raw,2968000,contextual_point,24,475,2024-02-19,0.9102456212370004,5,0,dp;zms;units;isolation_forest;calf,,0,,,log1p,7,475,0.95523056923919,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,11.0
raw,2968000,global_point,1,471,2024-02-15,0.9976666666666668,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0,log1p,1,471,0.9742777777777778,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;units;datamole;gpt4ts,2.0
raw,2968000,global_point,2,499,2024-03-14,0.996625,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,2.0,log1p,4,499,0.943513888888889,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,6.0
raw,2968000,global_point,3,370,2023-11-06,0.9946111111111112,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,2.0,log1p,20,370,0.8569305555555555,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;units;gpt4ts,1.0
raw,2968000,global_point,4,527,2024-04-11,0.9944583333333332,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,1.0,log1p,11,527,0.9204166666666664,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;datamole;gpt4ts,1.0
raw,2968000,global_point,5,577,2024-05-31,0.9916666666666666,3,2,itrans;datamole;gpt4ts,calf;units,3,itrans;datamole;gpt4ts,5.0,log1p,2,577,0.9605555555555556,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,2.0
raw,2968000,global_point,7,321,2023-09-18,0.9852083333333332,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,5.0,log1p,7,321,0.9344583333333332,5,0,itrans;calf;units;datamole;gpt4ts,,3,units;datamole;gpt4ts,4.0
raw,2968000,global_point,8,337,2023-10-04,0.9782361111111112,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,5.0,log1p,8,337,0.9344305555555554,5,0,itrans;calf;units;datamole;gpt4ts,,2,itrans;gpt4ts,23.0
raw,2968000,global_point,9,388,2023-11-24,0.9744583333333334,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,9.0,log1p,3,388,0.944763888888889,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;calf;datamole;gpt4ts,7.0
raw,2968000,global_point,10,367,2023-11-03,0.9728611111111112,5,0,itrans;calf;units;datamole;gpt4ts,,5,itrans;calf;units;datamole;gpt4ts,11.0,log1p,5,367,0.942347222222222,5,0,itrans;calf;units;datamole;gpt4ts,,3,calf;units;datamole,12.0
raw,2968000,global_point,11,398,2023-12-04,0.970125,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;gpt4ts,8.0,log1p,17,398,0.867388888888889,5,0,itrans;calf;units;datamole;gpt4ts,,2,units;gpt4ts,10.0
raw,2968000,global_point,12,596,2024-06-19,0.9627777777777776,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;gpt4ts,9.0,log1p,9,596,0.9316666666666666,3,2,itrans;datamole;gpt4ts,calf;units,2,itrans;datamole,21.0
raw,2968000,global_point,16,573,2024-05-27,0.935125,5,0,itrans;calf;units;datamole;gpt4ts,,4,itrans;units;datamole;gpt4ts,7.0,log1p,13,573,0.9157083333333336,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;units;gpt4ts,2.0
raw,2968000,global_point,23,468,2024-02-12,0.8997777777777778,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;datamole;gpt4ts,17.0,log1p,6,468,0.9384305555555554,5,0,itrans;calf;units;datamole;gpt4ts,,3,itrans;calf;gpt4ts,4.0
raw,2968000,subsequence_pattern,1,471,2024-02-15,0.9451510673234812,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0,log1p,3,471,0.9400275041050904,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,2.0
raw,2968000,subsequence_pattern,2,469,2024-02-13,0.9446949917898192,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,5.0,log1p,1,469,0.9529555966064588,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,5.0
raw,2968000,subsequence_pattern,3,468,2024-02-12,0.9165067733990148,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;itrans,9.0,log1p,2,468,0.9516340996168584,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,4.0
raw,2968000,subsequence_pattern,7,388,2023-11-24,0.9069906951286262,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,8.0,log1p,5,388,0.8864202244116038,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,7.0
raw,2968000,subsequence_pattern,8,398,2023-12-04,0.8971501094690749,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,8.0,log1p,8,398,0.8682601943076081,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,13.0
raw,2968000,subsequence_pattern,9,475,2024-02-19,0.8932598522167489,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,,log1p,4,475,0.8961262999452655,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,2968000,subsequence_pattern,10,370,2023-11-06,0.883672619047619,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0,log1p,7,370,0.8751965654077724,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,4.0
raw,2968000,subsequence_pattern,12,367,2023-11-03,0.8693374384236453,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,6.0,log1p,20,367,0.8385114942528735,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,10.0
raw,2968000,subsequence_pattern,13,387,2023-11-23,0.8673562534209086,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,21.0,log1p,23,387,0.8190797071702244,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,2.0
raw,2968000,subsequence_pattern,14,448,2024-01-23,0.8669330870279147,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;itrans,17.0,log1p,10,448,0.8613948412698413,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,2968000,subsequence_pattern,16,415,2023-12-21,0.8558675424192665,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,,log1p,12,415,0.8549463601532568,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,kmeans,18.0
raw,2968000,subsequence_pattern,24,577,2024-05-31,0.8144191297208538,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,6.0,log1p,24,577,0.8130069786535303,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,2.0
raw,3296000,contextual_point,1,486,2024-03-01,0.9970443349753694,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,3,486,0.9815715654077722,5,0,dp;zms;units;isolation_forest;calf,,4,zms;units;isolation_forest;calf,1.0
