anomaly_type,customer,date
global_point,13400000,2022-12-26
global_point,13400000,2023-04-03
global_point,13400000,2023-12-08
global_point,13400000,2024-04-07
global_point,13400000,2024-04-14
global_point,13400000,2024-04-15
global_point,13401000,2023-01-16
global_point,13401000,2023-03-31
global_point,13401000,2023-04-03
global_point,13401000,2023-04-28
global_point,13401000,2023-11-06
global_point,13401000,2023-12-08
global_point,13401000,2024-04-07
global_point,13401000,2024-04-14
global_point,13401000,2024-04-15
global_point,13401000,2024-04-22
global_point,161832000,2022-12-26
global_point,161832000,2023-04-03
global_point,161832000,2024-03-28
global_point,161832000,2024-03-29
global_point,161832000,2024-04-03
global_point,161832000,2024-04-07
global_point,161832000,2024-04-15
global_point,161832000,2024-04-21
global_point,161832000,2024-04-22
global_point,161832000,2024-05-04
global_point,161832000,2024-05-22
global_point,161835000,2022-12-25
global_point,161835000,2022-12-26
global_point,161835000,2023-04-03
global_point,161835000,2023-04-04
global_point,161835000,2024-03-28
global_point,161835000,2024-03-29
global_point,161835000,2024-04-05
global_point,161835000,2024-04-14
global_point,161835000,2024-04-15
global_point,161835000,2024-04-21
global_point,161835000,2024-04-22
global_point,161835000,2024-04-25
global_point,161836000,2023-03-15
global_point,161836000,2023-04-03
global_point,161836000,2023-04-04
global_point,161836000,2024-03-28
global_point,161836000,2024-03-29
global_point,161836000,2024-04-03
global_point,161836000,2024-04-07
global_point,161836000,2024-04-09
global_point,161836000,2024-04-14
global_point,161836000,2024-04-21
global_point,161836000,2024-04-22
global_point,161836000,2024-04-25
global_point,161836000,2024-05-04
global_point,161836000,2024-05-05
global_point,161836000,2024-05-19
global_point,161838000,2022-11-23
global_point,161838000,2023-03-15
global_point,161838000,2023-05-17
global_point,161838000,2023-07-24
global_point,161838000,2023-09-20
global_point,161838000,2023-10-23
global_point,161838000,2024-02-05
global_point,161838000,2024-03-28
global_point,161838000,2024-03-29
global_point,161838000,2024-04-03
global_point,161838000,2024-04-07
global_point,161838000,2024-04-08
global_point,161838000,2024-04-14
global_point,161838000,2024-04-15
global_point,161838000,2024-04-22
global_point,2968000,2023-09-18
global_point,2968000,2023-09-20
global_point,2968000,2023-11-05
global_point,2968000,2023-11-06
global_point,2968000,2023-11-07
global_point,2968000,2023-12-03
global_point,2968000,2024-02-15
global_point,2968000,2024-02-21
global_point,2968000,2024-03-01
global_point,2968000,2024-03-14
global_point,2968000,2024-05-27
global_point,3296000,2023-04-03
global_point,3296000,2023-12-08
global_point,3296000,2024-02-29
global_point,3296000,2024-03-01
global_point,3296000,2024-03-28
global_point,3296000,2024-03-29
global_point,3296000,2024-04-03
global_point,3296000,2024-04-07
global_point,3296000,2024-04-14
global_point,3296000,2024-04-15
global_point,3296000,2024-05-19
global_point,330387000,2023-02-09
global_point,330387000,2023-04-03
global_point,330387000,2023-08-07
global_point,330387000,2023-09-10
global_point,330387000,2023-09-11
global_point,330387000,2024-03-29
global_point,330387000,2024-04-15
global_point,620000,2022-12-26
global_point,620000,2023-12-08
global_point,620000,2024-02-29
global_point,620000,2024-04-14
global_point,620000,2024-04-15
global_point,620000,2024-04-21
global_point,620000,2024-04-22
global_point,620000,2024-05-24
global_point,633000,2022-12-26
global_point,633000,2023-04-03
global_point,633000,2023-09-08
global_point,633000,2024-02-29
global_point,633000,2024-04-07
global_point,633000,2024-04-14
global_point,633000,2024-04-15
global_point,633000,2024-04-22
contextual_point,13400000,2023-05-10
contextual_point,13400000,2023-11-22
contextual_point,13400000,2024-03-29
contextual_point,13400000,2024-04-02
contextual_point,13400000,2024-05-22
contextual_point,13401000,2023-03-02
contextual_point,13401000,2023-12-08
contextual_point,13401000,2024-02-08
contextual_point,13401000,2024-03-08
contextual_point,161832000,2024-03-29
contextual_point,161832000,2024-04-01
contextual_point,161832000,2024-04-25
contextual_point,161832000,2024-05-16
contextual_point,161832000,2024-05-17
contextual_point,161832000,2024-05-22
contextual_point,161835000,2023-03-01
contextual_point,161835000,2023-04-03
contextual_point,161835000,2023-10-31
contextual_point,161835000,2024-03-29
contextual_point,161835000,2024-04-15
contextual_point,161835000,2024-04-22
contextual_point,161835000,2024-04-23
contextual_point,161835000,2024-04-25
contextual_point,161835000,2024-05-23
contextual_point,161835000,2024-05-25
contextual_point,161836000,2023-03-01
contextual_point,161836000,2023-03-30
contextual_point,161836000,2023-04-03
contextual_point,161836000,2024-03-29
contextual_point,161836000,2024-04-05
contextual_point,161836000,2024-04-15
contextual_point,161836000,2024-04-23
contextual_point,161836000,2024-04-25
contextual_point,161838000,2023-03-15
contextual_point,161838000,2023-09-07
contextual_point,161838000,2023-10-23
contextual_point,161838000,2024-02-16
contextual_point,161838000,2024-02-20
contextual_point,161838000,2024-03-29
contextual_point,161838000,2024-04-15
contextual_point,161838000,2024-05-09
contextual_point,161838000,2024-05-16
contextual_point,161838000,2024-05-22
contextual_point,2968000,2023-10-27
contextual_point,2968000,2023-11-06
contextual_point,2968000,2023-12-04
contextual_point,2968000,2024-02-13
contextual_point,2968000,2024-02-15
contextual_point,2968000,2024-02-19
contextual_point,2968000,2024-04-11
contextual_point,2968000,2024-04-25
contextual_point,3296000,2023-04-03
contextual_point,3296000,2023-10-31
contextual_point,3296000,2024-01-23
contextual_point,3296000,2024-02-16
contextual_point,3296000,2024-02-20
contextual_point,3296000,2024-03-01
contextual_point,3296000,2024-03-20
contextual_point,3296000,2024-05-16
contextual_point,330387000,2023-02-09
contextual_point,330387000,2023-05-04
contextual_point,330387000,2023-08-04
contextual_point,330387000,2023-09-11
contextual_point,330387000,2024-03-01
contextual_point,330387000,2024-03-29
contextual_point,330387000,2024-04-23
contextual_point,620000,2023-12-26
contextual_point,620000,2024-01-04
contextual_point,620000,2024-01-05
contextual_point,620000,2024-01-11
contextual_point,633000,2023-05-10
contextual_point,633000,2023-08-29
contextual_point,633000,2024-03-29
contextual_point,633000,2024-04-02
contextual_point,633000,2024-05-22
subsequence_pattern,13400000,2023-05-10
subsequence_pattern,13400000,2023-11-22
subsequence_pattern,13400000,2024-03-29
subsequence_pattern,13400000,2024-04-02
subsequence_pattern,13400000,2024-05-22
subsequence_pattern,13401000,2023-03-02
subsequence_pattern,13401000,2023-12-08
subsequence_pattern,13401000,2024-02-08
subsequence_pattern,13401000,2024-03-08
subsequence_pattern,161832000,2024-03-29
subsequence_pattern,161832000,2024-04-01
subsequence_pattern,161832000,2024-04-25
subsequence_pattern,161832000,2024-05-16
subsequence_pattern,161832000,2024-05-17
subsequence_pattern,161832000,2024-05-22
subsequence_pattern,161835000,2023-03-01
subsequence_pattern,161835000,2023-04-03
subsequence_pattern,161835000,2023-10-31
subsequence_pattern,161835000,2024-03-29
subsequence_pattern,161835000,2024-04-15
subsequence_pattern,161835000,2024-04-22
subsequence_pattern,161835000,2024-04-23
subsequence_pattern,161835000,2024-04-25
subsequence_pattern,161835000,2024-05-23
subsequence_pattern,161835000,2024-05-25
subsequence_pattern,161836000,2023-03-01
subsequence_pattern,161836000,2023-03-30
subsequence_pattern,161836000,2023-04-03
subsequence_pattern,161836000,2024-03-29
subsequence_pattern,161836000,2024-04-05
subsequence_pattern,161836000,2024-04-15
subsequence_pattern,161836000,2024-04-23
subsequence_pattern,161836000,2024-04-25
subsequence_pattern,161838000,2023-03-15
subsequence_pattern,161838000,2023-09-07
subsequence_pattern,161838000,2023-10-23
subsequence_pattern,161838000,2024-02-16
subsequence_pattern,161838000,2024-02-20
subsequence_pattern,161838000,2024-03-29
subsequence_pattern,161838000,2024-04-15
subsequence_pattern,161838000,2024-05-09
subsequence_pattern,161838000,2024-05-16
subsequence_pattern,161838000,2024-05-22
subsequence_pattern,2968000,2023-10-27
subsequence_pattern,2968000,2023-11-06
subsequence_pattern,2968000,2023-12-04
subsequence_pattern,2968000,2024-02-13
subsequence_pattern,2968000,2024-02-15
subsequence_pattern,2968000,2024-02-19
subsequence_pattern,2968000,2024-04-11
subsequence_pattern,2968000,2024-04-25
subsequence_pattern,3296000,2023-04-03
subsequence_pattern,3296000,2023-10-31
subsequence_pattern,3296000,2024-01-23
subsequence_pattern,3296000,2024-02-16
subsequence_pattern,3296000,2024-02-20
subsequence_pattern,3296000,2024-03-01
subsequence_pattern,3296000,2024-03-20
subsequence_pattern,3296000,2024-05-16
subsequence_pattern,330387000,2023-02-09
subsequence_pattern,330387000,2023-05-04
subsequence_pattern,330387000,2023-08-04
subsequence_pattern,330387000,2023-09-11
subsequence_pattern,330387000,2024-03-01
subsequence_pattern,330387000,2024-03-29
subsequence_pattern,330387000,2024-04-23
subsequence_pattern,620000,2023-12-26
subsequence_pattern,620000,2024-01-04
subsequence_pattern,620000,2024-01-05
subsequence_pattern,620000,2024-01-11
subsequence_pattern,633000,2023-05-10
subsequence_pattern,633000,2023-08-29
subsequence_pattern,633000,2024-03-29
subsequence_pattern,633000,2024-04-02
subsequence_pattern,633000,2024-05-22
multivariate_dependency,ALL,2023-04-03
multivariate_dependency,ALL,2023-11-23
multivariate_dependency,ALL,2024-03-28
multivariate_dependency,ALL,2024-04-11
multivariate_dependency,ALL,2024-04-15
multivariate_dependency,ALL,2024-04-22
multivariate_dependency,ALL,2024-04-23
multivariate_dependency,ALL,2024-04-25
multivariate_dependency,ALL,2024-05-15
multivariate_dependency,ALL,2024-05-16
multivariate_dependency,ALL,2024-05-22
